88,8,1.6907,12,3,9,1.2507,1.2329,0.24324
89,8,2.6556,81,48,33,1.8678,1.6843,0.51144
90,9,1.1974,18,3,15,1.0927,1.0794,0.053521
91,10,1.8105,33,12,21,1.3306,1.3566,0.18573
92,10,2.0442,24,3,21,1.5802,1.6303,0.24559
93,10,1.6789,33,3,30,1.3962,1.4203,0.1732
94,10,1.646,30,3,27,1.2958,1.3428,0.16109
95,10,1.3096,12,6,6,1.1217,1.1217,0.087328
96,11,2.1709,21,9,12,1.5101,1.4631,0.39607
97,11,5.0738,27,9,18,2.3131,2.1088,1.0421
98,11,2.6787,84,45,39,1.5824,1.4434,0.51911
99,11,1.3385,18,6,12,1.1773,1.1955,0.07048
100,11,3.3873,45,21,24,1.9827,1.8867,0.66258
101,11,1.3545,15,3,12,1.2405,1.2788,0.13074
102,11,3.4239,72,27,45,1.9609,1.8656,0.62156
103,12,1.6978,75,39,36,1.3094,1.2878,0.15293
104,12,1.5216,33,24,9,1.2711,1.2492,0.20727
105,12,1.6021,45,36,9,1.2744,1.2629,0.21398
106,12,2.0712,30,6,24,1.4186,1.2853,0.30795
107,12,1.6386,39,18,21,1.3245,1.3438,0.17749
108,12,1.6885,24,6,18,1.2691,1.2201,0.22973
109,1,3.5534,156,18,138,1.7904,1.761,0.63586
110,1,1.616,24,18,6,1.5156,1.5156,0.029911
111,1,1.299,24,12,12,1.1409,1.1213,0.071466
112,1,3.7079,36,18,18,2.8198,2.7343,0.61737
113,3,1.3516,18,3,15,1.2227,1.2428,0.090932
114,3,1.6017,30,12,18,1.2925,1.3232,0.18336
115,4,1.6818,24,3,21,1.2898,1.2587,0.15162
116,4,2.1005,27,9,18,1.6945,1.7265,0.32929
117,6,1.675,21,9,12,1.4461,1.4648,0.1757
118,6,2.4192,45,18,27,1.7537,1.8124,0.44544
119,8,1.1738,21,15,6,1.0846,1.0846,0.077216
120,8,1.3445,24,18,6,1.1068,1.1068,0.11215
121,8,1.2665,12,9,3,1.1116,1.1116,0
122,9,1.8166,60,12,48,1.2696,1.2209,0.21658
123,10,1.9049,15,3,12,1.3493,1.3262,0.31745
124,11,2.8166,87,66,21,1.7607,1.6779,0.53842
125,11,1.2848,18,9,9,1.1019,1.1209,0.082317
