135,4,81,1.9254,1.3505,0.25743,6.8977,5.5773,0.56418,242.86,156.03
136,4,9,1.8549,1.5419,0.33514,5.937,5.6427,0.46023,347.04,8.0694
137,4,18,1.6869,1.3237,0.25692,5.4395,5.1345,0.31185,348.66,1.4053
138,6,33,2.7745,1.9206,0.59217,7.2618,6.5723,0.6384,322.79,16.116
139,6,12,1.4626,1.2469,0.17953,5.0739,4.7814,0.32012,339.81,9.6228
140,6,6,1.5109,1.3515,0.18616,4.6234,4.4905,0.17352,225.84,12.115
141,7,21,1.1698,1.112,0.049628,4.8089,4.7447,0.097659,260.64,159.16
142,7,6,1.0276,1.0164,0.01168,4.6499,4.6002,0.044356,310.14,4.5861
143,7,6,1.1048,1.0621,0.04059,4.9496,4.7069,0.24058,296.06,1.0359
144,8,12,1.1748,1.1097,0.072044,5.4433,5.2203,0.17398,6.3233,1.2603
145,8,24,1.4457,1.1699,0.14472,5.3019,5.0516,0.18013,291.53,12.351
146,8,12,1.6907,1.396,0.2685,5.9401,5.753,0.25132,357.53,0.49631
147,8,81,2.6556,1.805,0.4653,7.3003,6.1417,0.67831,340.25,10.282
148,9,18,1.1974,1.1086,0.058727,5.5021,5.3471,0.18003,4.7819,0.67674
149,9,9,1.156,1.107,0.052122,5.2815,5.1718,0.14787,0.77724,0.36775
150,10,3,1.0869,1.0779,0.012728,4.5076,4.2766,0.32675,245,9.4045
151,10,33,1.8105,1.3859,0.22854,6.1607,5.5034,0.38013,271.56,13.633
152,10,6,1.1709,1.1592,0.019776,4.9759,4.4758,0.47212,233.85,8.8119
153,10,0,1.0837,1.0837,0,4.0602,4.0602,0,159.61,0
154,10,24,2.0442,1.6711,0.28021,5.721,5.3527,0.28114,274.06,6.3614
155,10,33,1.6789,1.4138,0.1787,5.4722,5.1212,0.25648,279.05,4.703
156,10,9,1.1805,1.1162,0.056464,5.1961,5.016,0.26087,297.03,2.4983
157,10,9,1.1742,1.1069,0.064983,5.7255,4.7047,0.85224,246.2,34.589
158,10,30,1.646,1.3307,0.17832,6.4519,5.843,0.56256,254.28,151.44
159,10,12,1.3096,1.1762,0.12809,5.1319,4.7945,0.35753,270.34,6.1772
160,10,6,1.125,1.0719,0.047627,4.6883,4.4668,0.31682,265.67,3.3809
161,11,21,2.1709,1.5913,0.38483,6.0078,5.5052,0.44001,311.36,4.6213
162,11,27,5.0738,2.6967,1.3423,8.2996,6.7411,1.2645,314.54,30.09
163,11,84,2.6787,1.7392,0.51029,7.4629,6.3241,0.68689,332.1,26.439
164,11,18,1.3385,1.1861,0.098171,5.2201,4.9411,0.29203,301.93,10.33
165,11,0,1.0401,1.0401,0,3.8474,3.8474,0,191.14,0
166,11,45,3.3873,1.9761,0.73436,7.4106,5.8734,1.1647,269.45,43.311
167,11,15,1.3545,1.2727,0.11343,5.4495,5.2023,0.23866,290.92,1.8756
168,11,72,3.4239,2.1214,0.71159,7.1765,6.1629,0.69685,288.04,35.866
169,12,75,1.6978,1.3185,0.18811,5.862,5.2746,0.36198,295.71,27.19
170,12,33,1.5216,1.2433,0.14478,6.1788,5.1273,0.68443,264.47,28.463
171,12,45,1.6021,1.2389,0.16726,5.2669,4.8778,0.3281,280.17,22.765
172,12,6,1.3247,1.1773,0.12929,4.5755,4.2244,0.36809,96.723,9.1976
173,12,30,2.0712,1.5196,0.35313,6.3034,5.525,0.67558,294.07,45.499
174,12,3,1.0521,1.0506,0.0021213,5.1581,5.0542,0.14687,329.03,0.71418
175,12,39,1.6386,1.4061,0.17819,6.7836,6.1282,0.58727,330.59,19.74
176,12,24,1.6885,1.3192,0.25055,5.593,5.2151,0.33322,332.65,13.732
177,1,156,3.5534,1.9052,0.69951,8.0533,6.069,0.92209,187.33,144.16
178,1,24,1.616,1.4141,0.13622,5.8599,5.3947,0.36777,294.03,4.5366
179,1,24,1.299,1.1781,0.07321,4.8781,4.5307,0.26793,237.71,19.896
180,1,3,1.0997,1.0772,0.03182,4.5284,4.432,0.1364,231.22,22.847
181,1,36,3.7079,2.5149,0.81558,7.9331,6.625,1.1743,307.9,94.785
182,3,18,1.3516,1.2507,0.090106,5.306,5.0568,0.29095,279.55,7.7252
183,3,6,1.2939,1.2077,0.14913,4.4022,4.2687,0.11675,217.87,14.532
184,3,30,1.6017,1.3158,0.18882,5.4448,4.9325,0.4145,270.71,22.019
185,3,6,1.0429,1.0225,0.018445,5.5922,5.4513,0.17209,350.14,3.9218
186,3,6,1.1691,1.0981,0.082364,4.9731,4.6112,0.43361,294.8,1.3581
187,3,0,1.0153,1.0153,0,4.6299,4.6299,0,300.7,0
